block,event,mask_registration,placement,planned,realized,rejected,sink_capacity,size,source_capacity,spacing,time
L24_S990000,0,1.0,INTERFACE,2.099374250876334,2.099374250876334,False,89.55073253334693,24,19.785003174518554,1,272
L24_S990000,64,0.6607142857142857,INTERFACE,2.099374250876334,0.03802262642775023,False,61.241172645996365,24,0.03802262642775023,1,336
L24_S990000,128,0.6071428571428571,INTERFACE,2.099374250876334,0.03152223712426905,False,56.38943474905168,24,0.03152223712426905,1,400
L24_S990000,192,0.5714285714285714,INTERFACE,2.099374250876334,0.027624162603460012,False,52.94156254509927,24,0.027624162603460012,1,464
L24_S990000,256,0.5357142857142857,INTERFACE,2.099374250876334,0.024888455338224702,False,49.873018952122614,24,0.024888455338224702,1,528
L24_S990000,320,0.5178571428571429,INTERFACE,2.099374250876334,0.022800201918761864,False,47.8673057963816,24,0.022800201918761864,1,592
L24_S990000,384,0.49107142857142855,INTERFACE,2.099374250876334,0.021127428683206273,False,45.54006564535002,24,0.021127428683206273,1,656
L24_S990000,448,0.4642857142857143,INTERFACE,2.099374250876334,0.01974769244130936,False,43.215273489500085,24,0.01974769244130936,1,720
L24_S990000,512,0.44642857142857145,INTERFACE,2.099374250876334,0.018588867775367612,False,41.45026368817401,24,0.018588867775367612,1,784
L24_S990000,576,0.4107142857142857,INTERFACE,2.099374250876334,0.01759044740823712,False,38.90251686513703,24,0.01759044740823712,1,848
L24_S990000,640,0.4017857142857143,INTERFACE,2.099374250876334,0.016733321060991235,False,37.68705897417444,24,0.016733321060991235,1,912
L24_S990000,704,0.375,INTERFACE,2.099374250876334,0.016007931768542982,False,35.62169889343454,24,0.016007931768542982,1,976
L24_S990000,768,0.36607142857142855,INTERFACE,2.099374250876334,0.015395451100494895,False,34.489291031098354,24,0.015395451100494895,1,1040
L24_S990000,832,0.35714285714285715,INTERFACE,2.099374250876334,0.014876948107295895,False,33.406654599967005,24,0.014876948107295895,1,1104
L24_S990000,896,0.3482142857142857,INTERFACE,2.099374250876334,0.014436138411428545,False,32.38931641136039,24,0.014436138411428545,1,1168
L24_S990000,960,0.3392857142857143,INTERFACE,2.099374250876334,0.014059265084749528,False,31.330758539367608,24,0.014059265084749528,1,1232
L24_S990000,1024,0.32142857142857145,INTERFACE,2.099374250876334,0.01373453734655028,False,29.882911910743992,24,0.01373453734655028,1,1296
L24_S990000,1088,0.33035714285714285,INTERFACE,2.099374250876334,0.013449873449442484,False,29.752822289482516,24,0.013449873449442484,1,1360
L24_S990000,1152,0.30357142857142855,INTERFACE,2.099374250876334,0.01319617315246413,False,27.902099342102204,24,0.01319617315246413,1,1424
L24_S990000,1216,0.2857142857142857,INTERFACE,2.099374250876334,0.013032721264510272,False,26.54298324895593,24,0.013032721264510272,1,1488
L24_S990000,1280,0.2767857142857143,INTERFACE,2.099374250876334,0.012914311102654397,False,25.641463277061803,24,0.012914311102654397,1,1552
L24_S990000,1344,0.25892857142857145,INTERFACE,2.099374250876334,0.012830761959640946,False,24.275328424938245,24,0.012830761959640946,1,1616
L24_S990000,1408,0.25,INTERFACE,2.099374250876334,0.012773053168811943,False,23.394734971618313,24,0.012773053168811943,1,1680
L24_S990000,1472,0.25892857142857145,INTERFACE,2.099374250876334,0.01273309579473314,False,23.40312430648657,24,0.01273309579473314,1,1744
L24_S990000,1536,0.23214285714285715,INTERFACE,2.099374250876334,0.012705761283398509,False,21.66680419182789,24,0.012705761283398509,1,1808
L24_S990000,1600,0.22321428571428573,INTERFACE,2.099374250876334,0.012690616411846212,False,20.83422311027243,24,0.012690616411846212,1,1872
L24_S990000,1664,0.24107142857142858,INTERFACE,2.099374250876334,0.012678974740803373,False,21.300267354229522,24,0.012678974740803373,1,1936
L24_S990000,1728,0.21428571428571427,INTERFACE,2.099374250876334,0.012675610411147509,False,19.58577459483735,24,0.012675610411147509,1,2000
L24_S990000,1792,0.20535714285714285,INTERFACE,2.099374250876334,0.012679376822293031,False,18.779170465984613,24,0.012679376822293031,1,2064
L24_S990000,1856,0.20535714285714285,INTERFACE,2.099374250876334,0.012683573000782933,False,18.401556097123432,24,0.012683573000782933,1,2128
L24_S990000,1920,0.1875,INTERFACE,2.099374250876334,0.012692309842956884,False,17.144650584781463,24,0.012692309842956884,1,2192
L24_S990000,1984,0.1875,INTERFACE,2.099374250876334,0.01270390060129667,False,16.793868423858125,24,0.01270390060129667,1,2256
L24_S990000,0,1.0,INTERFACE,2.099374250876334,2.099374250876334,False,89.55073253334693,24,19.785003174518554,4,272
